experiment,loss_class,total_steps,trainable_params,runtime_sec,coefficient_mse,coefficient_mae,label_mse,label_mae,node_label_mae,edge_label_mae,h_mae_meV,h_rmse_meV,h_allclose_1e_5,spectral_global_rmse_eV,spectral_low_energy_rmse_eV,support_f1,relative_frobenius_union
dense_readout_coefficient_space_mse,coefficient_space_mse,1000,1212973,60.42872986604925,8.171599397144291e-09,1.3092943845549598e-05,2.7417561554443637e-08,5.0216771342093125e-05,4.6586794637904024e-07,4.9750904374032994e-05,0.02935275984940058,0.12675771955223578,False,0.006364218142823123,0.0008623616807822409,0.7611241217798596,2.5414719260317173e-05
dense_readout_label_space_mse,block_type_mse,1000,1212973,57.95918809808791,5.6889714293573146e-12,6.28702764515765e-07,1.777565247773616e-11,1.1661804819596e-06,4.653806326457568e-07,7.007998845042071e-07,0.0006385574685610014,0.0032259424459461995,False,9.631375806961061e-05,1.8690399956221624e-06,0.7629107981220657,6.467962811503415e-07
dense_readout_block_type_mae,block_type_mae,1000,1212973,75.2041520680068,0.00010584437404759228,0.005765518173575401,0.0001358677400276065,0.008953077718615532,0.005950351521323896,0.0030027270557418865,4.223005905094715,7.667159765739295,False,0.22347617802447078,0.018696595530964352,0.7611241217798596,0.0015372532233823048
default_readout_coefficient_space_mse,coefficient_space_mse,1000,406816,176.06170129799284,2.811277772707399e-05,0.0014567130710929632,2.0561519704642706e-05,0.0016407094663009048,0.00024522371488084504,0.0013954856102505531,0.9193035037034956,3.4557034193548333,False,0.007094746640101605,0.0008442460369161134,1.0,0.0006928629874382487
