op_key,status,prediction_shape,target_shape,n_coefficients,mae,rmse,max_abs
"edge:(0, 0, 0)",ok,"[1, 25]","[1, 25]",25,5.815221379508006e-07,7.579042459527326e-07,1.9073486328125e-06
"edge:(0, 1, 1)",ok,"[2, 65]","[2, 65]",130,1.3766380456765894e-07,2.404260506873577e-07,9.5367431640625e-07
node:0,ok,"[2, 15]","[2, 15]",30,4.6243270236403216e-07,7.67395937006308e-07,1.9073486328125e-06
node:1,ok,"[1, 91]","[1, 91]",91,1.4651112041125177e-07,2.94743454410594e-07,1.9073486328125e-06
